id,name,category,year,parts,raw_price,mean_price
6252808-1,Chewbacca,Star Wars,2018,22,[],0
75524-1,Chirrut Îmwe,Star Wars,2017,87,"['\n$15.00\n', '\n$15.00\n']",15
5004243-1,Classic Collection,Star Wars,2014,0,[],0
75108-1,Clone Commander Cody,Star Wars,2015,82,"['\n$34.13\n', '\n$34.13\n']",34.13
7250-1,Clone Scout Walker,Star Wars,2005,109,[],0
75261-1,Clone Scout Walker - 20th Anniversary Edition,Star Wars,2019,250,"['\n$99.95\n', '\n$75.00\n', '\n$99.95\n', '\n$75.00\n']",87.48
912281-1,Clone Trooper,Star Wars,2022,5,"['\n$9.99\n', '\n$9.99\n']",9.99
40558-1,Clone Trooper Command Station,Star Wars,2022,66,"['\n$14.99\n', '\n$24.50\n', '\n$14.99\n', '\n$24.50\n']",19.74
5001709-1,Clone Trooper Lieutenant,Star Wars,2013,5,"['\n$27.76\n', '\n$27.76\n']",27.76
7655-1,Clone Troopers Battle Pack,Star Wars,2007,58,[],0
75000-1,Clone Troopers vs. Droidekas,Star Wars,2013,124,[],0
20006-1,Clone Turbo Tank,Star Wars,2008,64,[],0
8098-1,Clone Turbo Tank,Star Wars,2010,1145,"['\n$450.00\n', '\n$284.10\n', '\n$450.00\n', '\n$284.10\n']",367.05
75028-1,Clone Turbo Tank,Star Wars,2014,96,[],0
75151-1,Clone Turbo Tank,Star Wars,2016,903,"['\n$274.70\n', '\n$274.70\n']",274.7
912176-1,Clone Turbo Tank,Star Wars,2021,57,"['\n$8.50\n', '\n$3.80\n', '\n$8.50\n', '\n$3.80\n']",6.15
7261-1,Clone Turbo Tank [Light-Up Mace Windu],Star Wars,2005,810,[],0
30006-1,Clone Walker,Star Wars,2009,31,"['\n$22.21\n', '\n$22.21\n']",22.21
8014-1,Clone Walker Battle Pack,Star Wars,2009,80,[],0
COMCON001-1,Clone Wars Pack,Star Wars,2008,33,[],0
10123-1,Cloud City,Star Wars > Ultimate Collector Series,2003,707,[],0
75215-1,Cloud-Rider Swoop Bikes,Star Wars,2018,355,"['\n$44.99\n', '\n$53.10\n', '\n$44.99\n', '\n$53.10\n']",49.04
COMCON004-1,Collectible Display Set 1,Star Wars,2009,16,[],0
COMCON005-1,Collectible Display Set 2,Star Wars,2009,13,[],0
COMCON008-1,Collectible Display Set 3,Star Wars,2009,16,[],0
COMCON006-1,Collectible Display Set 4,Star Wars,2009,30,[],0
COMCON007-1,Collectible Display Set 5,Star Wars,2009,17,[],0
COMCON009-1,Collectible Display Set 6,Star Wars,2009,17,[],0
75015-1,Corporate Alliance Tank Droid,Star Wars,2013,271,"['\n$123.96\n', '\n$123.96\n']",123.96
75046-1,Coruscant Police Gunship,Star Wars,2014,481,"['\n$142.05\n', '\n$142.05\n']",142.05
7752-1,Count Dooku's Solar Sailer,Star Wars,2009,385,"['\n$319.00\n', '\n$319.00\n']",319
SDCC2010-1,CubeDude - The Clone Wars Edition,Star Wars,2010,416,[],0
75330-1,Dagobah Jedi Training Diorama,Star Wars,2022,1000,"['\n$699.95\n', '\n$69.95\n', '\n$89.99\n', '\n$92.60\n', '\n$699.95\n', '\n$69.95\n', '\n$89.99\n', '\n$92.60\n']",238.12
SDCC2015-2,Dagobah Mini-Build,Star Wars,2015,177,[],0
75324-1,Dark Trooper Attack,Star Wars,2022,166,"['\n$10.00\n', '\n$34.99\n', '\n$45.90\n', '\n$10.00\n', '\n$34.99\n', '\n$45.90\n']",30.3
75343-1,Dark Trooper Helmet,Star Wars,2022,693,"['\n$164.75\n', '\n$70.00\n', '\n$69.99\n', '\n$54.99\n', '\n$73.56\n', '\n$164.75\n', '\n$70.00\n', '\n$69.99\n', '\n$54.99\n', '\n$73.56\n']",86.66
10018-1,Darth Maul,Star Wars > Ultimate Collector Series,2001,1868,"['\n$2,040.01\n', '\n$2,040.01\n']",2040.01
5000062-1,Darth Maul,Star Wars,2012,7,"['\n$35.70\n', '\n$35.70\n']",35.7
75537-1,Darth Maul,Star Wars,2018,104,"['\n$45.00\n', '\n$45.00\n']",45
912285-1,Darth Maul,Star Wars,2022,7,"['\n$172.00\n', '\n$6.01\n', '\n$172.00\n', '\n$6.01\n']",89
COMCON019-1,Darth Maul's Mini Sith Infiltrator,Star Wars,2012,84,[],0
7961-1,Darth Maul's Sith Infiltrator,Star Wars,2011,479,"['\n$180.00\n', '\n$180.00\n']",180
912058-1,Darth Maul's Sith Infiltrator,Star Wars,2020,34,"['\n$19.97\n', '\n$3.13\n', '\n$19.97\n', '\n$3.13\n']",11.55
5002123-1,Darth Revan,Star Wars,2014,7,"['\n$375.00\n', '\n$375.00\n']",375
4547551-1,Darth Vader,Star Wars,2008,7,[],0
75111-1,Darth Vader,Star Wars,2015,160,"['\n$39.99\n', '\n$39.99\n']",39.99
75534-1,Darth Vader,Star Wars,2018,168,"['\n$84.99\n', '\n$84.99\n']",84.99
5005376-1,Darth Vader,Star Wars,2018,37,"['\n$25.75\n', '\n$25.75\n']",25.75
75304-1,Darth Vader,Star Wars,2021,834,"['\n$59.99\n', '\n$79.99\n', '\n$85.71\n', '\n$59.99\n', '\n$79.99\n', '\n$85.71\n']",75.23
sw117promo-1,Darth Vader: 56. International Toy Fair Nuernberg,Star Wars,2005,4,[],0
75227-1,Darth Vader Bust,Star Wars,2019,327,"['\n$125.00\n', '\n$149.37\n', '\n$125.00\n', '\n$149.37\n']",137.18
75296-1,Darth Vader Meditation Chamber,Star Wars,2021,663,"['\n$69.99\n', '\n$76.49\n', '\n$69.99\n', '\n$76.50\n', '\n$69.99\n', '\n$76.49\n', '\n$69.99\n', '\n$76.50\n']",73.24
75251-1,Darth Vader's Castle,Star Wars,2018,1060,"['\n$179.99\n', '\n$179.99\n', '\n$179.99\n', '\n$179.99\n']",179.99
TOYFAIR-1,Darth Vader - Toy Fair 2009 Invitation,Star Wars,2009,7,[],0
7251-1,Darth Vader Transformation,Star Wars,2005,59,[],0
75183-1,Darth Vader Transformation,Star Wars,2017,290,"['\n$68.43\n', '\n$68.43\n']",68.43
75159-1,Death Star,Star Wars > Ultimate Collector Series,2016,4024,[],0
75246-1,Death Star Cannon,Star Wars,2019,159,"['\n$19.99\n', '\n$25.00\n', '\n$19.99\n', '\n$25.00\n']",22.49
75093-1,Death Star Final Duel,Star Wars,2015,724,"['\n$118.01\n', '\n$118.01\n']",118.01
75291-1,Death Star Final Duel,Star Wars,2020,775,"['\n$149.99\n', '\n$125.36\n', '\n$149.99\n', '\n$125.36\n']",137.68
10143-1,Death Star II,Star Wars > Ultimate Collector Series,2005,3461,[],0
40407-1,Death Star II Battle,Star Wars,2020,235,"['\n$65.00\n', '\n$29.90\n', '\n$65.00\n', '\n$29.90\n']",47.45
