set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,retire_price,pop_price,retire_month,category,return
21147,The Bedrock Adventures,2018,644,4,257.73,0,4.8,73.015,174.97,19-Jun,Minecraft,0.67889
21313,Ship in a Bottle,2018,962,0,225.51,0,4.8,73.56,147.61,19-Dec,LEGO Ideas and CUUSOO,0.65456
21314,TRON: Legacy,2018,230,3,96.62,3,4.7,30.35,77.83,19-Nov,LEGO Ideas and CUUSOO,0.80553
21315,Pop-Up Book,2018,859,5,193.29,5,4.8,61.735,125.79,20-Sep,LEGO Ideas and CUUSOO,0.65078
31073,Mythical Creatures,2018,223,0,41.86,0,4.8,13.92,39.02,20-Jan,Creator > Creator 3-in-1,0.93215
31075,Outback Adventures,2018,225,1,57.96,1,4.7,19.165,38.94,18-Dec,Creator > Creator 3-in-1,0.67184
31076,Daredevil Stunt Plane,2018,200,1,57.96,1,4.7,17.735,38.15,18-Dec,Creator > Creator 3-in-1,0.65821
31077,Modular Sweet Surprises,2018,396,3,112.74,3,4.4,34.58,70.79,19-Dec,Creator > Creator 3-in-1,0.6279
31078,Tree House Treasures,2018,260,2,96.62,2,4.8,35.485,69.06,20-Jul,Creator > Creator 3-in-1,0.71476
31079,Sunshine Surfer Van,2018,379,2,80.52,2,4.7,27.93,71.52,20-Jan,Creator > Creator 3-in-1,0.88823
31080,Modular Winter Vacation,2018,374,2,80.52,2,4.7,32.815,50.84,18-Nov,Creator > Creator 3-in-1,0.6314
31084,Pirate Roller Coaster,2018,923,5,225.51,4,4.8,68.835,216.6,19-Dec,Creator > Creator 3-in-1,0.96049
40274,Mr. Claus & Mrs. Claus,2018,341,0,57.96,0,4.6,23.17,49.36,21-Sep,Brickheadz,0.85162
41151,Mulan's Training Day,2018,104,1,41.86,1,4.4,11.875,22.18,19-Feb,Disney Princess,0.52986
41152,Sleeping Beauty's Fairytale Castle,2018,322,3,96.62,3,4.8,29.615,65.6,18-Nov,Disney Princess,0.67895
41153,Ariel's Royal Celebration Boat,2018,380,2,144.96,2,4.3,41.79,89.67,20-Jan,Disney Princess,0.61858
41155,Elsa's Market Adventure,2018,125,2,57.96,2,4.5,17.86,35.94,20-Jan,Disney > Frozen,0.62008
41156,Rapunzel's Castle Bedroom,2018,156,1,57.96,1,4.7,18.065,41.38,19-Apr,Disney Princess,0.71394
41157,Rapunzel's Travelling Caravan,2018,323,2,112.74,2,4.5,35.53,67.05,19-Sep,Disney Princess,0.59473
41332,Emma's Art Stand,2018,211,0,57.96,0,4.8,18.49,42.38,19-Aug,Friends,0.73119
41334,Andrea's Park Performance,2018,229,0,64.4,0,4.4,23.455,40.07,19-Feb,Friends,0.6222
41335,Mia's Tree House,2018,351,0,80.52,0,4.7,38.51,76.73,20-Dec,Friends,0.95293
41336,Emma's Art Cafe,2018,378,0,96.62,0,4.7,29.13,72.56,19-Jul,Friends,0.75098
41338,Stephanie's Sports Arena,2018,460,0,128.85,0,4.6,41.36,72.01,19-Jul,Friends,0.55887
41340,Friendship House,2018,730,0,193.29,0,4.7,59.33,221.19,20-Mar,Friends,1.14434
