set_id,set_name_x,release_year,num_parts,num_figs,retail_price,num_unique_figs,set_rating,pop_price,category,return
41335,Mia's Tree House,2018,351,0,80.52,0,4.7,76.73,Friends,0.95293
41336,Emma's Art Cafe,2018,378,0,96.62,0,4.7,72.56,Friends,0.75098
41338,Stephanie's Sports Arena,2018,460,0,128.85,0,4.6,72.01,Friends,0.55887
41340,Friendship House,2018,730,0,193.29,0,4.7,221.19,Friends,1.14434
41344,Andrea's Accessories Store,2018,294,0,80.52,0,4.7,51.36,Friends,0.63785
41345,Heartlake City Pet Center,2018,483,0,177.18,0,4.8,227.26,Friends,1.28265
41347,Heartlake City Resort,2018,1019,0,289.95,0,4.8,278.75,Friends,0.96137
41348,Service & Care Truck,2018,255,0,48.3,0,4.4,33.11,Friends,0.68551
41349,Drifting Diner,2018,345,0,80.52,0,4.5,70.71,Friends,0.87817
41351,Creative Tuning Shop,2018,421,0,128.85,0,4.4,68.12,Friends,0.52868
41352,The Big Race Day,2018,648,0,161.07,0,4.5,102.07,Friends,0.6337
41597,Go Brick Me,2018,708,0,83.74,0,4.9,64.05,Brickheadz,0.76487
41610,Tactical Batman & Superman,2018,209,0,57.96,0,4.9,67.12,Brickheadz,1.15804
41613,Mr. Incredible & Frozone,2018,160,0,57.96,0,4.8,50.59,Brickheadz,0.87284
41614,Owen & Blue,2018,234,0,57.96,0,4.7,35.61,Brickheadz,0.61439
41615,Harry Potter & Hedwig,2018,180,0,48.3,0,4.9,43.1,Brickheadz,0.89234
41618,Anna & Olaf,2018,201,0,48.3,0,4.8,34.56,Brickheadz,0.71553
41621,Ron Weasley & Albus Dumbledore,2018,245,0,57.96,0,4.9,48.1,Brickheadz,0.82988
41622,Peter Venkman & Slimer,2018,228,0,57.96,0,4.9,49.89,Brickheadz,0.86077
41623,Ariel & Ursula,2018,361,0,57.96,0,4.9,63.44,Brickheadz,1.09455
41626,Groot & Rocket,2018,189,0,48.3,0,4.9,59.09,Brickheadz,1.2234
41627,Luke Skywalker & Yoda,2018,215,0,48.3,0,4.9,68.11,Brickheadz,1.41014
41631,Newt Scamander & Gellert Grindelwald,2018,247,0,57.96,0,4.9,37.21,Brickheadz,0.64199
41632,Homer Simpson & Krusty the Clown,2018,215,0,57.96,0,4.9,57.87,Brickheadz,0.99845
42072,WHACK!,2018,135,0,57.96,0,4.7,50.06,Technic,0.8637
42073,BASH!,2018,139,0,57.96,0,4.7,43.63,Technic,0.75276
42074,Racing Yacht,2018,331,0,80.52,0,4.7,90.83,Technic,1.12804
42075,First Responder,2018,513,0,112.74,0,4.7,101.04,Technic,0.89622
42076,Hovercraft,2018,1020,0,193.29,0,4.4,131.12,Technic,0.67836
42077,Rally Car,2018,1005,0,289.95,0,4.5,208.91,Technic,0.7205
42078,Mack Anthem,2018,2595,0,451.05,0,4.7,408.2,Technic,0.905
42080,Forest Machine,2018,1003,0,386.61,0,4.7,235.33,Technic,0.6087
42082,Rough Terrain Crane,2018,4056,0,741.03,0,4.8,561.77,Technic,0.75809
60173,Mountain Arrest,2018,303,4,128.85,3,4.6,111.48,City > Police,0.86519
60174,Mountain Police Headquarters,2018,663,7,225.51,5,4.7,199.04,City > Police,0.88262
60180,Monster Truck,2018,192,1,48.3,1,4.5,38.36,City > Off-Road,0.7942
60181,Forest Tractor,2018,174,1,57.96,1,4.7,46.89,City > Farm,0.80901
60182,Pickup & Caravan,2018,344,3,80.52,3,4.7,95.75,City,1.18915
60183,Heavy Cargo Transport,2018,310,2,80.52,2,4.7,73.06,City > Traffic,0.90735
60185,Mining Power Splitter,2018,127,1,41.86,0,4.4,30.71,City > Construction,0.73364
60186,Mining Heavy Driller,2018,294,3,128.85,0,4.5,85.94,City > Construction,0.66698
60188,Mining Experts Site,2018,883,6,257.73,2,4.7,208.31,City > Construction,0.80825
60192,Arctic Ice Crawler,2018,200,1,51.52,0,4.6,49.7,City > Arctic,0.96467
60193,Arctic Air Transport,2018,277,2,80.52,0,4.7,92.66,City > Arctic,1.15077
60195,Arctic Mobile Exploration Base,2018,786,6,273.85,1,4.5,216.98,City > Arctic,0.79233
60197,Passenger Train,2018,677,4,386.61,4,4.7,266.62,City > Trains,0.68964
60198,Cargo Train,2018,1226,6,579.93,5,4.7,366.77,City > Trains,0.63244
60202,People Pack - Outdoor Adventures,2018,164,15,112.74,15,4.8,86.44,City,0.76672
60204,City Hospital,2018,861,12,225.51,11,4.8,278.33,City > Hospital,1.23422
70638,Katana V11,2018,257,2,48.3,2,4.7,43.99,Ninjago,0.91077
70641,Ninja Nightcrawler,2018,552,3,112.74,3,4.8,123.36,Ninjago,1.0942
70642,Killow vs. Samurai X,2018,556,3,144.96,2,4.9,105.93,Ninjago,0.73075
70643,Temple of Resurrection,2018,765,7,193.29,6,4.8,163.44,Ninjago,0.84557
70644,Golden Dragon Master,2018,93,1,41.86,1,4.5,26.93,Ninjago,0.64333
70645,Cole - Dragon Master,2018,93,1,41.86,1,4.4,29.84,Ninjago,0.71285
70646,Jay - Dragon Master,2018,93,1,41.86,1,4.5,27.8,Ninjago,0.66412
70647,Kai - Dragon Master,2018,93,1,41.86,1,4.5,25.99,Ninjago,0.62088
70648,Zane - Dragon Master,2018,92,1,41.86,1,4.5,25.23,Ninjago,0.60272
70651,Throne Room Showdown,2018,222,5,57.96,4,4.8,44.36,Ninjago,0.76536
70652,Stormbringer,2018,498,4,112.74,1,4.8,140.55,Ninjago,1.24667
70653,Firstbourne,2018,892,6,193.29,2,4.8,188.55,Ninjago,0.97548
70654,Dieselnaut,2018,1188,7,289.95,1,4.9,244.62,Ninjago,0.84366
70655,Dragon Pit,2018,1669,9,386.61,4,4.8,278.29,Ninjago,0.71982
